% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 56.03    0.004307           4       863           futex
 13.14    0.001010           2       414           epoll_pwait
 12.15    0.000934           2       430           read
  6.97    0.000536           5       107           write
  3.10    0.000238           4        58           munmap
  1.42    0.000109           1        66           rt_sigaction
  1.39    0.000107           1        60           mprotect
  0.78    0.000060           1        36           madvise
  0.61    0.000047           3        14           brk
  0.60    0.000046           1        38         2 ioctl
  0.60    0.000046           1        28        13 fcntl
  0.46    0.000035           0        67           mmap
  0.34    0.000026           1        21           rt_sigprocmask
  0.29    0.000022           0        25           close
  0.27    0.000021           0        24           getpid
  0.27    0.000021           3         6         2 epoll_ctl
  0.26    0.000020           0        23           fstat
  0.23    0.000018           1        12           capget
  0.21    0.000016           1        12           geteuid
  0.20    0.000015           1        12           getgid
  0.18    0.000014           1        12           getuid
  0.18    0.000014           0        23         3 openat
  0.17    0.000013           1        12           getegid
  0.07    0.000005           0         8           prlimit64
  0.04    0.000003           1         2           uname
  0.03    0.000002           2         1           set_tid_address
  0.03    0.000002           2         1           set_robust_list
  0.00    0.000000           0         2           stat
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0        10           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         3           readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         3           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           eventfd2
  0.00    0.000000           0         2           epoll_create1
  0.00    0.000000           0         2           dup3
  0.00    0.000000           0         3           pipe2
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1         1 pkey_alloc
  0.00    0.000000           0         4           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.007687                  2423        23 total
