% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 32.79    0.002122         424         5           write
 12.27    0.000794          16        48           munmap
  5.62    0.000364           5        66           rt_sigaction
  5.41    0.000350           6        51           mprotect
  5.25    0.000340           5        62           mmap
  3.77    0.000244           6        38         2 ioctl
  3.46    0.000224           7        30           read
  3.32    0.000215           8        25           close
  3.26    0.000211           4        44         1 futex
  2.97    0.000192           7        27           madvise
  2.44    0.000158           6        24         4 openat
  2.39    0.000155           5        28        13 fcntl
  2.35    0.000152           7        21           rt_sigprocmask
  2.06    0.000133           5        23           fstat
  1.67    0.000108           4        22           getpid
  1.61    0.000104           7        14           brk
  1.28    0.000083           8        10           clone
  0.93    0.000060           7         8           pread64
  0.90    0.000058           7         8           prlimit64
  0.68    0.000044           3        12           geteuid
  0.65    0.000042           7         6         2 epoll_ctl
  0.63    0.000041           3        12           getegid
  0.62    0.000040           3        12           getgid
  0.57    0.000037           3        12           getuid
  0.57    0.000037           3        12           capget
  0.51    0.000033           4         7           epoll_pwait
  0.48    0.000031          10         3           pipe2
  0.32    0.000021          10         2           epoll_create1
  0.29    0.000019           9         2           eventfd2
  0.17    0.000011          11         1         1 pkey_alloc
  0.15    0.000010           5         2         1 arch_prctl
  0.15    0.000010          10         1           sched_getaffinity
  0.15    0.000010          10         1           set_robust_list
  0.14    0.000009           4         2           uname
  0.08    0.000005           5         1           set_tid_address
  0.08    0.000005           5         1           getrandom
  0.00    0.000000           0         2           stat
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         3           readlink
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         3           gettid
  0.00    0.000000           0         2           dup3
  0.00    0.000000           0         5           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.006472                   662        25 total
